side,start_t,end_t,duration_s,start_tick,end_tick,target,regime_start,regime_count,first_build_t,first_clear_t,first_accept_t,first_extend_t,committed_t,regime_clear_t,max_reload_count,max_depletion,max_build_score,max_pressure,min_failure_risk,micro_min,micro_max,max_tests,max_defense,max_disappearance,max_age_s,strong_near_count,end_spot,mfe_30s,mae_30s,mfe_60s,mae_60s,mfe_120s,mae_120s,mfe_300s,mae_300s,mfe_600s,mae_600s
SHORT,1787209667.362,1787209679.361,11.999000072479248,930,954,24270.0,225,3,1787209667.362,1787209667.362,,,1787209667.362,1787209667.362,30.0,0.8967254408060453,65.6,0.6684583783135853,100,-0.47,0.6,298.0,298.0,32.0,479.0,0,24284.3,3.2999999999992724,-2.650000000001455,3.2999999999992724,-7.049999999999272,3.2999999999992724,-10.850000000002183,3.2999999999992724,-16.25,3.2999999999992724,-33.54999999999927
SHORT,1787209684.88,1787209695.11,10.229999780654907,965,985,24270.0,235,6,1787209684.88,1787209684.88,,,1787209684.88,1787209684.88,30.0,0.924433249370277,62.4,0.5083372789656876,100,-0.21,0.59,300.0,300.0,33.0,494.8,0,24284.35,2.4499999999970896,-3.850000000002183,2.4499999999970896,-7.0,2.4499999999970896,-14.25,2.4499999999970896,-16.200000000000728,2.4499999999970896,-41.400000000001455
SHORT,1787209725.613,1787210129.861,404.2480001449585,1046,1850,24285.0,0,74,1787209726.113,1787209731.119,,,1787209731.119,1787209731.119,18.0,1.0,74.1,0.7367246642246653,100,-0.68,0.86,704.0,703.0,21.0,404.2,87,24299.25,12.700000000000728,7.900000000001455,12.700000000000728,4.099999999998545,12.700000000000728,-1.2000000000007276,12.700000000000728,-1.2999999999992724,12.700000000000728,-35.0
SHORT,1787210156.614,1787210167.095,10.480999946594238,1903,1922,24285.0,113,20,,1787210156.614,,,1787210156.614,1787210156.614,18.0,0.9769230769230768,57.7,0.4472310335712543,100,-0.21,0.61,704.0,703.0,22.0,441.5,0,24300.05,3.849999999998545,-3.5,3.849999999998545,-3.7000000000007276,3.849999999998545,-21.0,3.849999999998545,-45.95000000000073,3.849999999998545,-55.20000000000073
SHORT,1787210171.765,1787210191.187,19.42199993133545,1929,1971,24285.0,139,14,1787210171.765,1787210171.765,,,1787210171.765,1787210171.765,18.0,1.0,63.4,0.5815064102564174,100,-0.13,0.74,706.0,705.0,22.0,465.6,0,24303.4,7.200000000000728,-0.3499999999985448,7.200000000000728,-1.0999999999985448,7.200000000000728,-22.349999999998545,7.200000000000728,-43.5,7.200000000000728,-51.849999999998545
SHORT,1787210261.209,1787210272.642,11.432999849319458,2109,2131,24305.0,0,2,1787210261.209,,,,,,0.0,1.0,45.2,0.3931140350878333,100,-0.09,0.74,3.0,0.0,0.0,9.0,0,24316.25,3.7000000000007276,-9.5,3.7000000000007276,-18.0,3.7000000000007276,-18.0,3.7000000000007276,-39.0,3.7000000000007276,-39.0
SHORT,1787210274.138,1787210321.123,46.984999895095825,2134,2227,24305.0,0,19,1787210278.624,1787210287.124,,,1787210287.124,1787210287.124,0.0,1.0,67.0,0.722066294132735,100,-0.57,0.83,54.0,0.0,1.0,42.5,21,24333.5,16.200000000000728,7.75,16.200000000000728,-0.75,16.200000000000728,-0.75,16.200000000000728,-21.75,16.200000000000728,-21.75
SHORT,1787210322.12,1787210330.624,8.504000186920166,2229,2246,24315.0,20,18,,1787210322.12,,,1787210322.12,1787210322.12,0.0,1.0,56.3,0.2391491935484852,100,-0.3,0.54,27.0,0.0,0.0,52.0,0,24332.15,4.650000000001455,-1.7999999999992724,8.0,-1.7999999999992724,8.0,-11.599999999998545,8.0,-23.099999999998545,8.0,-23.099999999998545
SHORT,1787210352.122,1787210391.613,39.490999937057495,2289,2367,24315.0,80,13,1787210352.122,1787210352.122,,,1787210352.122,1787210352.122,1.0,0.9919354838709676,72.6,0.7191377171216438,100,-0.35,0.84,59.0,8.0,2.0,113.0,0,24328.7,4.549999999999272,-2.0,4.549999999999272,-10.049999999999272,4.549999999999272,-18.200000000000728,4.549999999999272,-26.549999999999272,4.549999999999272,-26.549999999999272
SHORT,1787210397.372,1787210406.362,8.990000009536743,2378,2394,24315.0,103,3,1787210397.372,1787210397.372,,,1787210397.372,1787210397.372,1.0,1.0,59.4,0.5512192780337286,100,-0.47,0.55,61.0,10.0,2.0,127.7,0,24330.3,3.849999999998545,-9.799999999999272,3.849999999998545,-15.700000000000728,3.849999999998545,-19.700000000000728,3.849999999998545,-24.950000000000728,4.25,-24.950000000000728
SHORT,1787210431.87,1787210491.372,59.50200009346008,2445,2562,24330.0,0,18,1787210431.87,1787210448.37,,,1787210448.37,1787210448.37,3.0,1.0,66.9,0.7697927643134062,100,-0.29,0.89,23.0,17.0,4.0,59.5,0,24346.05,7.5,-0.8500000000021828,7.5,-1.7999999999992724,7.5,-9.200000000000728,17.75,-9.200000000000728,20.0,-9.200000000000728
SHORT,1787210492.87,1787210501.371,8.501000165939331,2565,2582,24330.0,20,18,,1787210492.87,,,1787210492.87,1787210492.87,3.0,1.0,60.3,0.4074252136751806,100,-0.24,0.74,23.0,17.0,4.0,69.5,0,24345.1,2.5499999999992724,-4.900000000001455,2.5499999999992724,-10.150000000001455,9.69999999999709,-10.150000000001455,16.799999999999272,-10.150000000001455,22.44999999999709,-10.150000000001455
SHORT,1787210510.372,1787211299.625,789.2530000209808,2600,4168,24345.0,0,81,1787210510.372,1787210528.87,1787210575.371,1787210619.372,1787210528.87,1787210528.87,16.0,1.0,88.0,0.8992668734706204,100,-0.71,0.94,1303.0,1196.0,22.0,658.5,1389,24331.25,-16.099999999998545,-22.599999999998545,-13.299999999999272,-24.0,-4.150000000001455,-24.0,2.9500000000007276,-24.0,8.599999999998545,-24.0
